osmid,y,x
8823455179,21.0212961,105.8256587
8823455180,21.0213994,105.8258879
8921282801,21.0198063,105.7860152
9576908879,21.0233286,105.8201513
9970440452,21.0006081,105.816442
9980229913,21.0208665,105.8310544
10076263973,20.9982233,105.7950569
10076263976,20.9997687,105.7971436
10076263977,20.999559,105.7973058
10076263978,20.9991285,105.7967091
10076263979,20.9993478,105.7965394
10087376960,20.9864966,105.7959884
10100966682,21.0077986,105.8153637
10130533935,21.006939,105.8296986
10130533953,21.000269,105.8289036
10130533955,21.0009003,105.8287886
10151536198,20.9788569,105.7860002
10159724112,21.0017264,105.7824455
10180671333,21.0158991,105.8052084
10202001781,21.0203108,105.7861223
10203920310,21.0236165,105.790511
10203920324,21.0236184,105.7897548
10203920325,21.0236795,105.7898732
10203920328,21.022736,105.7902997
10203920329,21.0228018,105.7904093
10296445822,21.0200564,105.8078754
10296445823,21.0202257,105.8083216
10296445824,21.0196409,105.8079784
10542328776,21.0201792,105.8010362
10682258584,20.9957966,105.8149294
10743484787,20.9835,105.8157765
10965136434,21.0216993,105.8010002
10997686363,21.0278456,105.8049193
11014094287,21.0063522,105.8307843
11014094288,21.0064788,105.8308437
11107112919,21.0285022,105.8055111
11107112923,21.0281843,105.8048724
11107112927,21.0280274,105.8052995
11107112929,21.0284896,105.8055337
11107112935,21.0281043,105.8055532
11107112958,21.0287825,105.8046822
11111175323,20.9795597,105.8128225
11111175326,20.979528,105.8123313
11182265554,20.991337,105.7843574
11201648616,21.0138554,105.8271703
11209721500,21.0125238,105.7757155
11209721504,21.0129174,105.775722
11700202516,20.986677,105.7962451
11700202517,20.9865204,105.7963699
11768052436,20.9982472,105.798127
11768052437,20.9980607,105.797835
11950483412,21.0089408,105.8243268
11950483417,21.0090127,105.8241564
12024836052,21.0176486,105.815723
12174413404,21.0290877,105.8061133
12206582473,20.9771201,105.7841764
12357580642,21.0180675,105.8301196
12357580645,21.0185479,105.8300366
12375164794,21.0289033,105.779007
12375164795,21.0287761,105.7789889
12375164797,21.0288196,105.7795442
12375164798,21.0287072,105.7795231
12484632695,20.9999413,105.8154472
12484632696,20.9997842,105.8155681
12513272960,21.0076719,105.8153995
12559133535,21.028585,105.8053237
12600043488,20.9988925,105.814248
12600043494,20.9990862,105.814155
12606538099,20.9995613,105.7967348
12606538104,20.9964063,105.7994564
12725862784,20.9792739,105.7861051
12725862785,20.9791501,105.7859474
12768097332,21.0290673,105.779133
12768097335,21.0289206,105.7788848
12816414542,21.0196902,105.8086422
12816414547,21.0196359,105.8085589
12872373345,21.0248171,105.7920951
12872373346,21.0246877,105.7922156
12908782868,20.9791878,105.7864106
13023100784,21.0237503,105.797628
13023100793,21.0237827,105.7976104
13023100794,21.023785,105.7976002
13206202825,20.9941616,105.8068118
13282498392,20.9904216,105.803814
13282498396,20.9871495,105.8063267
13282511304,20.9803737,105.8112154
13282511305,20.9861469,105.8070606
13322115743,21.0156583,105.7792541
13322115744,21.0155211,105.7793593
13327548965,21.0189505,105.7841741
13327548966,21.0190605,105.7843605
13327548967,21.0190916,105.7840715
13327548968,21.0192085,105.784262
