timestamp,edge_id,speed_kmh,duration_s,distance_m
2025-11-27 15:05:03.309614,1919751043_1919751060,32.4,2,18
2025-11-27 15:05:03.433898,1919751043_1748294250,11.78,96,314
2025-11-27 15:05:03.608627,1919751060_1954877845,32.4,2,18
2025-11-27 15:05:03.755888,1919751060_1919751043,10.8,6,18
2025-11-27 15:05:03.917498,1954877845_1919750981,24.12,10,67
2025-11-27 15:05:04.111280,2050902820_98031401,6.3,12,21
2025-11-27 15:05:04.334330,2050902820_6662639319,16.2,6,27
2025-11-27 15:05:04.462927,2050902827_445970127,4.68,10,13
2025-11-27 15:05:04.663385,2050902827_2050902836,29.76,15,124
2025-11-27 15:05:04.821448,2050902830_445970096,9.0,6,15
2025-11-27 15:05:05.004558,2050902830_2050902833,25.2,18,126
2025-11-27 15:05:05.222709,2050902832_2050902833,3.6,13,13
2025-11-27 15:05:05.420210,2050902832_445970096,22.93,19,121
2025-11-27 15:05:05.616582,2050902833_2050902827,25.84,17,122
2025-11-27 15:05:05.764780,2050902833_2050902832,5.85,8,13
2025-11-27 15:05:05.968285,2050902835_2050902836,6.4,9,16
2025-11-27 15:05:06.165974,2050902835_445970127,28.8,15,120
2025-11-27 15:05:06.293827,2050902836_2050902835,4.43,13,16
2025-11-27 15:05:06.495711,2050902836_5489009621,29.01,17,137
2025-11-27 15:05:06.693944,2053894358_8237661942,8.0,9,20
2025-11-27 15:05:06.903513,2053894358_2290010720,20.79,98,566
2025-11-27 15:05:07.105509,2084132002_5716649671,27.0,2,15
2025-11-27 15:05:07.288760,2084132003_5718871870,4.13,34,39
2025-11-27 15:05:07.553542,2084132003_5710673979,6.66,47,87
2025-11-27 15:05:07.675663,2084132003_98041849,3.38,33,31
2025-11-27 15:05:07.828817,2174649904_106108917,18.5,80,411
2025-11-27 15:05:07.960208,2174649904_2174649908,25.64,49,349
2025-11-27 15:05:08.098797,2174649908_1904360482,14.08,112,438
2025-11-27 15:05:08.298930,2174649908_4961341864,14.4,46,184
2025-11-27 15:05:08.474963,2175126932_6648227223,25.67,23,164
2025-11-27 15:05:08.677073,2175126939_2175126932,8.42,71,166
2025-11-27 15:05:08.874676,2175126939_444874857,4.2,42,49
2025-11-27 15:05:09.063173,2176926218_446030797,15.58,58,251
2025-11-27 15:05:09.308190,2176926218_6662241095,24.98,16,111
2025-11-27 15:05:09.457609,2176926218_5716616005,16.62,91,420
2025-11-27 15:05:09.644314,2185731222_1314191415,2.91,63,51
2025-11-27 15:05:09.833337,2185731222_436383687,4.59,163,208
2025-11-27 15:05:10.054921,2185731475_2185731477,25.2,12,84
2025-11-27 15:05:10.242315,2185731475_1312650079,8.35,25,58
2025-11-27 15:05:10.435753,2185731477_13327548965,27.49,22,168
2025-11-27 15:05:10.638970,2185731479_2185731481,36.45,8,81
2025-11-27 15:05:10.773002,2185731479_1887751321,4.37,47,57
2025-11-27 15:05:10.892043,2185731481_1879091753,32.12,13,116
2025-11-27 15:05:11.070326,2186671583_2186671586,2.95,11,9
2025-11-27 15:05:11.255986,2186671583_2291073251,4.99,44,61
2025-11-27 15:05:11.394318,2186671584_444398125,6.48,5,9
2025-11-27 15:05:11.524394,2186671584_2186671583,22.14,20,123
2025-11-27 15:05:11.720658,2186671585_2186671584,17.55,16,78
2025-11-27 15:05:11.852933,2186671586_2186671583,5.4,6,9
2025-11-27 15:05:11.984137,2186671586_444398125,17.74,28,138
2025-11-27 15:05:12.149566,2188036136_283139237,11.27,191,598
2025-11-27 15:05:12.280522,2188036136_444875375,4.83,94,126
2025-11-27 15:05:12.461298,2195296719_6644721587,0.0,0,4
2025-11-27 15:05:12.699785,2195296719_438036727,23.29,17,110
2025-11-27 15:05:12.829588,2195296719_309685730,12.57,195,681
2025-11-27 15:05:13.008595,2212544448_1314191436,7.2,6,12
2025-11-27 15:05:13.155202,2212544448_1314185648,19.52,45,244
2025-11-27 15:05:13.406201,2274969534_5828495464,4.15,13,15
2025-11-27 15:05:13.601760,2274969534_5718868836,26.22,46,335
2025-11-27 15:05:13.792904,2289976216_5718868836,23.87,103,683
2025-11-27 15:05:13.934526,2289976216_5828495464,23.98,50,333
2025-11-27 15:05:14.122793,2289997642_2289997644,3.96,10,11
2025-11-27 15:05:14.249232,2289997642_1314203102,11.77,41,134
2025-11-27 15:05:14.385289,2289997644_2289997642,13.2,3,11
2025-11-27 15:05:14.531279,2289997644_2289976216,22.75,22,139
2025-11-27 15:05:14.726821,2290010720_2290010722,5.6,9,14
2025-11-27 15:05:14.907778,2290010720_309595522,9.0,62,155
2025-11-27 15:05:15.114581,2290010722_2290010720,7.2,7,14
2025-11-27 15:05:15.292586,2290010722_8237661942,19.89,103,569
2025-11-27 15:05:15.441946,2291064324_319490613,21.98,19,116
2025-11-27 15:05:15.626250,2291064328_2291064324,19.64,11,60
2025-11-27 15:05:15.767666,2291064328_428673752,3.05,39,33
2025-11-27 15:05:15.962375,2291072469_317366886,8.64,5,12
2025-11-27 15:05:16.157640,2291072469_5710136488,14.28,185,734
2025-11-27 15:05:16.349320,2291072476_5710136485,16.2,4,18
2025-11-27 15:05:16.569931,2291072476_5710136487,23.04,5,32
2025-11-27 15:05:16.691110,2291073251_2291072469,13.2,6,22
2025-11-27 15:05:16.936580,2291073251_2291254030,22.92,41,261
2025-11-27 15:05:17.184032,2291254028_2291254030,12.24,10,34
2025-11-27 15:05:17.369531,2291254028_2291072469,10.18,93,263
2025-11-27 15:05:17.532518,2291254030_2291254028,21.21,194,1143
2025-11-27 15:05:17.801168,2291254030_444501637,26.03,48,347
2025-11-27 15:05:17.987374,2295384939_436388447,7.71,7,15
2025-11-27 15:05:18.171860,2295384939_5721511585,23.36,43,279
2025-11-27 15:05:18.360571,2302164518_2302164519,22.05,111,680
2025-11-27 15:05:18.550304,2302164518_5719031414,23.67,73,480
2025-11-27 15:05:18.682672,2302164519_2302164518,6.12,10,17
2025-11-27 15:05:18.934165,2302164519_12375164797,5.74,96,153
2025-11-27 15:05:19.063063,2302166519_1312645244,11.4,12,38
2025-11-27 15:05:19.205105,2302166519_1475295086,27.65,53,407
2025-11-27 15:05:19.393515,2303337176_1498038039,28.69,34,271
2025-11-27 15:05:19.595163,2326674277_5709923606,43.2,2,24
2025-11-27 15:05:19.768383,2326674277_2326674288,33.26,25,231
2025-11-27 15:05:19.945500,2326674281_5709923603,54.0,1,15
2025-11-27 15:05:20.125130,2326674281_1314191417,29.33,27,220
2025-11-27 15:05:20.286955,2326674288_4539674888,35.79,17,169
2025-11-27 15:05:20.493443,2570960524_12206582473,27.88,74,573
2025-11-27 15:05:20.677717,2570960524_5707647500,29.7,32,264
2025-11-27 15:05:20.852229,2584589542_5721511586,28.2,163,1277
2025-11-27 15:05:21.040907,2701058419_5716537675,7.12,93,184
2025-11-27 15:05:21.227218,2701184883_4539682086,18.7,31,161
2025-11-27 15:05:21.472000,3075526390_1919751043,28.8,3,24
2025-11-27 15:05:21.642462,3075526390_1954877845,23.6,9,59
2025-11-27 15:05:21.819271,3075526396_3075526390,27.45,8,61
2025-11-27 15:05:21.960350,3779255487_2701184883,11.78,416,1361
2025-11-27 15:05:22.082546,3779255487_5716537702,6.22,33,57
2025-11-27 15:05:22.265646,3779255494_4538405026,20.88,5,29
